Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1,unemployed_rate
2018,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,10,Race/Ethnicity,"Black, non-Hispanic",2.1
2018,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,1228,Gender,Female,2.1
2018,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,157,Gender,Female,2.1
2018,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,68,Race/Ethnicity,Hispanic,2.1
2018,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,8,Race/Ethnicity,Hispanic,2.1
2018,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,1228,Overall,Overall,2.1
2018,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,157,Overall,Overall,2.1
2018,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,282,Race/Ethnicity,"White, non-Hispanic",2.1
2018,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,46,Race/Ethnicity,"White, non-Hispanic",2.1
2019,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,12,Race/Ethnicity,"Black, non-Hispanic",2.8
2019,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,1245,Gender,Female,2.8
2019,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,164,Gender,Female,2.8
2019,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,70,Race/Ethnicity,Hispanic,2.8
2019,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,9,Race/Ethnicity,Hispanic,2.8
2019,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,1245,Overall,Overall,2.8
2019,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,164,Overall,Overall,2.8
2019,HI,Hawaii,Breast Cancer,Incidence,Average Annual Number,284,Race/Ethnicity,"White, non-Hispanic",2.8
2019,HI,Hawaii,Breast Cancer,Mortality,Average Annual Number,48,Race/Ethnicity,"White, non-Hispanic",2.8
2015,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,36,Race/Ethnicity,"Black, non-Hispanic",3.9
2015,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,"Black, non-Hispanic",3.9
2015,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2334,Gender,Female,3.9
2015,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,399,Gender,Female,3.9
2015,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,29,Race/Ethnicity,Hispanic,3.9
2015,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,3,Race/Ethnicity,Hispanic,3.9
2015,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2334,Overall,Overall,3.9
2015,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,399,Overall,Overall,3.9
2015,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2245,Race/Ethnicity,"White, non-Hispanic",3.9
2015,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,386,Race/Ethnicity,"White, non-Hispanic",3.9
2016,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,38,Race/Ethnicity,"Black, non-Hispanic",3.6
2016,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,"Black, non-Hispanic",3.6
2016,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2365,Gender,Female,3.6
2016,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,400,Gender,Female,3.6
2016,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,31,Race/Ethnicity,Hispanic,3.6
2016,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,3,Race/Ethnicity,Hispanic,3.6
2016,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2365,Overall,Overall,3.6
2016,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,400,Overall,Overall,3.6
2016,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2269,Race/Ethnicity,"White, non-Hispanic",3.6
2016,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,387,Race/Ethnicity,"White, non-Hispanic",3.6
2017,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,40,Race/Ethnicity,"Black, non-Hispanic",3.3
2017,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,7,Race/Ethnicity,"Black, non-Hispanic",3.3
2017,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2472,Gender,Female,3.3
2017,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,395,Gender,Female,3.3
2017,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,35,Race/Ethnicity,Hispanic,3.3
2017,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,3.3
2017,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2472,Overall,Overall,3.3
2017,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,395,Overall,Overall,3.3
2017,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2367,Race/Ethnicity,"White, non-Hispanic",3.3
2017,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,379,Race/Ethnicity,"White, non-Hispanic",3.3
2018,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,45,Race/Ethnicity,"Black, non-Hispanic",2.8
2018,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,7,Race/Ethnicity,"Black, non-Hispanic",2.8
2018,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2558,Gender,Female,2.8
2018,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,397,Gender,Female,2.8
2018,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,38,Race/Ethnicity,Hispanic,2.8
2018,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,2.8
2018,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2558,Overall,Overall,2.8
2018,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,397,Overall,Overall,2.8
2018,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2441,Race/Ethnicity,"White, non-Hispanic",2.8
2018,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,380,Race/Ethnicity,"White, non-Hispanic",2.8
2019,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,50,Race/Ethnicity,"Black, non-Hispanic",2.6
2019,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,8,Race/Ethnicity,"Black, non-Hispanic",2.6
2019,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2627,Gender,Female,2.6
2019,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,396,Gender,Female,2.6
2019,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,37,Race/Ethnicity,Hispanic,2.6
2019,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,Hispanic,2.6
2019,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2627,Overall,Overall,2.6
2019,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,396,Overall,Overall,2.6
2019,IA,Iowa,Breast Cancer,Incidence,Average Annual Number,2503,Race/Ethnicity,"White, non-Hispanic",2.6
2019,IA,Iowa,Breast Cancer,Mortality,Average Annual Number,378,Race/Ethnicity,"White, non-Hispanic",2.6
2015,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1104,Gender,Female,3.8
2015,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,188,Gender,Female,3.8
2015,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,48,Race/Ethnicity,Hispanic,3.8
2015,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,3.8
2015,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1104,Overall,Overall,3.8
2015,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,188,Overall,Overall,3.8
2015,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1025,Race/Ethnicity,"White, non-Hispanic",3.8
2015,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,181,Race/Ethnicity,"White, non-Hispanic",3.8
2016,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1147,Gender,Female,3.8
2016,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,193,Gender,Female,3.8
2016,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,51,Race/Ethnicity,Hispanic,3.8
2016,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,3.8
2016,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1147,Overall,Overall,3.8
2016,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,193,Overall,Overall,3.8
2016,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1061,Race/Ethnicity,"White, non-Hispanic",3.8
2016,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,185,Race/Ethnicity,"White, non-Hispanic",3.8
2017,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1197,Gender,Female,3.5
2017,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,208,Gender,Female,3.5
2017,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,57,Race/Ethnicity,Hispanic,3.5
2017,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,6,Race/Ethnicity,Hispanic,3.5
2017,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,208,Overall,Overall,3.5
2017,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1197,Overall,Overall,3.5
2017,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1103,Race/Ethnicity,"White, non-Hispanic",3.5
2017,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,200,Race/Ethnicity,"White, non-Hispanic",3.5
2018,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1246,Gender,Female,3
2018,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,215,Gender,Female,3
2018,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,60,Race/Ethnicity,Hispanic,3
2018,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,3
2018,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1246,Overall,Overall,3
2018,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,215,Overall,Overall,3
2018,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1145,Race/Ethnicity,"White, non-Hispanic",3
2018,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,206,Race/Ethnicity,"White, non-Hispanic",3
2019,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1287,Gender,Female,3
2019,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,217,Gender,Female,3
2019,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,64,Race/Ethnicity,Hispanic,3
2019,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,3
2019,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1287,Overall,Overall,3
2019,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,217,Overall,Overall,3
2019,ID,Idaho,Breast Cancer,Incidence,Average Annual Number,1180,Race/Ethnicity,"White, non-Hispanic",3
2019,ID,Idaho,Breast Cancer,Mortality,Average Annual Number,209,Race/Ethnicity,"White, non-Hispanic",3
2015,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,9979,Gender,Female,6.1
2015,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1785,Gender,Female,6.1
2015,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,9979,Overall,Overall,6.1
2015,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1785,Overall,Overall,6.1
2016,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10133,Gender,Female,6.2
2016,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1762,Gender,Female,6.2
2016,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10133,Overall,Overall,6.2
2016,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1762,Overall,Overall,6.2
2017,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10303,Gender,Female,5.3
2017,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1741,Gender,Female,5.3
2017,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10303,Overall,Overall,5.3
2017,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1741,Overall,Overall,5.3
2018,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10403,Gender,Female,4.6
2018,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1740,Gender,Female,4.6
2018,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10403,Overall,Overall,4.6
2018,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1740,Overall,Overall,4.6
2019,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10477,Gender,Female,4.6
2019,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1740,Gender,Female,4.6
2019,IL,Illinois,Breast Cancer,Incidence,Average Annual Number,10477,Overall,Overall,4.6
2019,IL,Illinois,Breast Cancer,Mortality,Average Annual Number,1740,Overall,Overall,4.6
2015,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,393,Race/Ethnicity,"Black, non-Hispanic",5.4
2015,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,86,Race/Ethnicity,"Black, non-Hispanic",5.4
2015,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4787,Gender,Female,5.4
2015,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,872,Gender,Female,5.4
2015,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,98,Race/Ethnicity,Hispanic,5.4
2015,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,15,Race/Ethnicity,Hispanic,5.4
2015,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4787,Overall,Overall,5.4
2015,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,872,Overall,Overall,5.4
2015,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4244,Race/Ethnicity,"White, non-Hispanic",5.4
2015,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,766,Race/Ethnicity,"White, non-Hispanic",5.4
2016,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,402,Race/Ethnicity,"Black, non-Hispanic",4.6
2016,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,87,Race/Ethnicity,"Black, non-Hispanic",4.6
2016,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4883,Gender,Female,4.6
2016,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,871,Gender,Female,4.6
2016,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,106,Race/Ethnicity,Hispanic,4.6
2016,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,15,Race/Ethnicity,Hispanic,4.6
2016,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4883,Overall,Overall,4.6
2016,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,871,Overall,Overall,4.6
2016,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4319,Race/Ethnicity,"White, non-Hispanic",4.6
2016,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,765,Race/Ethnicity,"White, non-Hispanic",4.6
2017,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,407,Race/Ethnicity,"Black, non-Hispanic",3.8
2017,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,86,Race/Ethnicity,"Black, non-Hispanic",3.8
2017,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4985,Gender,Female,3.8
2017,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,876,Gender,Female,3.8
2017,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,109,Race/Ethnicity,Hispanic,3.8
2017,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,16,Race/Ethnicity,Hispanic,3.8
2017,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4985,Overall,Overall,3.8
2017,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,876,Overall,Overall,3.8
2017,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4408,Race/Ethnicity,"White, non-Hispanic",3.8
2017,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,769,Race/Ethnicity,"White, non-Hispanic",3.8
2018,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,413,Race/Ethnicity,"Black, non-Hispanic",3.3
2018,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,87,Race/Ethnicity,"Black, non-Hispanic",3.3
2018,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,5089,Gender,Female,3.3
2018,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,882,Gender,Female,3.3
2018,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,119,Race/Ethnicity,Hispanic,3.3
2018,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,17,Race/Ethnicity,Hispanic,3.3
2018,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,5089,Overall,Overall,3.3
2018,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,882,Overall,Overall,3.3
2018,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4487,Race/Ethnicity,"White, non-Hispanic",3.3
2018,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,772,Race/Ethnicity,"White, non-Hispanic",3.3
2019,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,402,Race/Ethnicity,"Black, non-Hispanic",3.5
2019,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,87,Race/Ethnicity,"Black, non-Hispanic",3.5
2019,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,5093,Gender,Female,3.5
2019,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,879,Gender,Female,3.5
2019,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,128,Race/Ethnicity,Hispanic,3.5
2019,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,16,Race/Ethnicity,Hispanic,3.5
2019,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,5093,Overall,Overall,3.5
2019,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,879,Overall,Overall,3.5
2019,IN,Indiana,Breast Cancer,Incidence,Average Annual Number,4485,Race/Ethnicity,"White, non-Hispanic",3.5
2019,IN,Indiana,Breast Cancer,Mortality,Average Annual Number,769,Race/Ethnicity,"White, non-Hispanic",3.5
2015,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2104,Gender,Female,4.3
2015,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,361,Gender,Female,4.3
2015,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,75,Race/Ethnicity,Hispanic,4.3
2015,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,9,Race/Ethnicity,Hispanic,4.3
2015,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2104,Overall,Overall,4.3
2015,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,361,Overall,Overall,4.3
2016,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2139,Gender,Female,3.9
2016,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,371,Gender,Female,3.9
2016,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,81,Race/Ethnicity,Hispanic,3.9
2016,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,10,Race/Ethnicity,Hispanic,3.9
2016,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2139,Overall,Overall,3.9
2016,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,371,Overall,Overall,3.9
2017,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2183,Gender,Female,3.9
2017,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,361,Gender,Female,3.9
2017,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,89,Race/Ethnicity,Hispanic,3.9
2017,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,11,Race/Ethnicity,Hispanic,3.9
2017,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2183,Overall,Overall,3.9
2017,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,361,Overall,Overall,3.9
2018,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2255,Gender,Female,3.5
2018,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,370,Gender,Female,3.5
2018,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,96,Race/Ethnicity,Hispanic,3.5
2018,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,11,Race/Ethnicity,Hispanic,3.5
2018,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2255,Overall,Overall,3.5
2018,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,370,Overall,Overall,3.5
2019,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2303,Gender,Female,3.4
2019,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,381,Gender,Female,3.4
2019,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,98,Race/Ethnicity,Hispanic,3.4
2019,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,14,Race/Ethnicity,Hispanic,3.4
2019,KS,Kansas,Breast Cancer,Incidence,Average Annual Number,2303,Overall,Overall,3.4
2019,KS,Kansas,Breast Cancer,Mortality,Average Annual Number,381,Overall,Overall,3.4
2015,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,229,Race/Ethnicity,"Black, non-Hispanic",5.3
2015,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,49,Race/Ethnicity,"Black, non-Hispanic",5.3
2015,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3384,Gender,Female,5.3
2015,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,603,Gender,Female,5.3
2015,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,27,Race/Ethnicity,Hispanic,5.3
2015,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,5.3
2015,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3384,Overall,Overall,5.3
2015,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,603,Overall,Overall,5.3
2015,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3108,Race/Ethnicity,"White, non-Hispanic",5.3
2015,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,545,Race/Ethnicity,"White, non-Hispanic",5.3
2016,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,232,Race/Ethnicity,"Black, non-Hispanic",5.2
2016,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,49,Race/Ethnicity,"Black, non-Hispanic",5.2
2016,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3443,Gender,Female,5.2
2016,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,605,Gender,Female,5.2
2016,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,29,Race/Ethnicity,Hispanic,5.2
2016,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,5.2
2016,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3443,Overall,Overall,5.2
2016,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,605,Overall,Overall,5.2
2016,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3158,Race/Ethnicity,"White, non-Hispanic",5.2
2016,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,549,Race/Ethnicity,"White, non-Hispanic",5.2
2017,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,233,Race/Ethnicity,"Black, non-Hispanic",5.1
2017,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,45,Race/Ethnicity,"Black, non-Hispanic",5.1
2017,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3497,Gender,Female,5.1
2017,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,603,Gender,Female,5.1
2017,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,35,Race/Ethnicity,Hispanic,5.1
2017,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,5.1
2017,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3497,Overall,Overall,5.1
2017,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,603,Overall,Overall,5.1
2017,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,549,Race/Ethnicity,"White, non-Hispanic",5.1
2017,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3204,Race/Ethnicity,"White, non-Hispanic",5.1
2018,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,242,Race/Ethnicity,"Black, non-Hispanic",4.2
2018,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,48,Race/Ethnicity,"Black, non-Hispanic",4.2
2018,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3560,Gender,Female,4.2
2018,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,604,Gender,Female,4.2
2018,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,37,Race/Ethnicity,Hispanic,4.2
2018,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,5,Race/Ethnicity,Hispanic,4.2
2018,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3560,Overall,Overall,4.2
2018,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,604,Overall,Overall,4.2
2018,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3254,Race/Ethnicity,"White, non-Hispanic",4.2
2018,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,547,Race/Ethnicity,"White, non-Hispanic",4.2
2019,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,251,Race/Ethnicity,"Black, non-Hispanic",4.2
2019,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,48,Race/Ethnicity,"Black, non-Hispanic",4.2
2019,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3607,Gender,Female,4.2
2019,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,620,Gender,Female,4.2
2019,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,42,Race/Ethnicity,Hispanic,4.2
2019,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,4,Race/Ethnicity,Hispanic,4.2
2019,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3607,Overall,Overall,4.2
2019,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,620,Overall,Overall,4.2
2019,KY,Kentucky,Breast Cancer,Incidence,Average Annual Number,3286,Race/Ethnicity,"White, non-Hispanic",4.2
2019,KY,Kentucky,Breast Cancer,Mortality,Average Annual Number,564,Race/Ethnicity,"White, non-Hispanic",4.2
2015,LA,Louisiana,Breast Cancer,Incidence,Average Annual Number,1027,Race/Ethnicity,"Black, non-Hispanic",6.8
2015,LA,Louisiana,Breast Cancer,Mortality,Average Annual Number,252,Race/Ethnicity,"Black, non-Hispanic",6.8
2015,LA,Louisiana,Breast Cancer,Incidence,Average Annual Number,3347,Gender,Female,6.8
2015,LA,Louisiana,Breast Cancer,Mortality,Average Annual Number,651,Gender,Female,6.8
2015,LA,Louisiana,Breast Cancer,Incidence,Average Annual Number,68,Race/Ethnicity,Hispanic,6.8
2015,LA,Louisiana,Breast Cancer,Mortality,Average Annual Number,7,Race/Ethnicity,Hispanic,6.8
2015,LA,Louisiana,Breast Cancer,Incidence,Average Annual Number,3347,Overall,Overall,6.8
2015,LA,Louisiana,Breast Cancer,Mortality,Average Annual Number,651,Overall,Overall,6.8
2015,LA,Louisiana,Breast Cancer,Incidence,Average Annual Number,2221,Race/Ethnicity,"White, non-Hispanic",6.8
2015,LA,Louisiana,Breast Cancer,Mortality,Average Annual Number,387,Race/Ethnicity,"White, non-Hispanic",6.8
