Year,State,Race,Household_Income,total_population,unemployment_rate,incidence,mortality
2019,Louisiana,White,51073,3585647,4.8,2396,399
2019,Maryland,Black,86738,4857021,3.3,1493,299
2019,Maryland,Hispanic,86738,4857021,3.3,174,20
2019,Maryland,White,86738,4857021,3.3,3114,483
2019,Michigan,Black,59584,8060046,3.8,964,234
2019,Michigan,Hispanic,59584,8060046,3.8,124,20
2019,Michigan,White,59584,8060046,3.8,6622,1116
2019,Minnesota,Black,74593,4469109,3.3,132,26
2019,Minnesota,Hispanic,74593,4469109,3.3,66,6
2019,Minnesota,White,74593,4469109,3.3,4199,597
2019,Mississippi,Black,45792,2280895,5.6,794,179
2019,Mississippi,Hispanic,45792,2280895,5.6,14,0
2019,Mississippi,White,45792,2280895,5.6,1450,256
2019,Missouri,Black,57409,4824112,3.3,523,112
2019,Missouri,Hispanic,57409,4824112,3.3,60,7
2019,Missouri,White,57409,4824112,3.3,4420,716
2019,Nebraska,Black,63229,1499060,3.1,47,11
2019,Nebraska,Hispanic,63229,1499060,3.1,55,3
2019,Nebraska,White,63229,1499060,3.1,1340,227
2019,Nevada,Black,63276,2432219,4.2,93,45
2019,Nevada,Hispanic,63276,2432219,4.2,147,34
2019,Nevada,White,63276,2432219,4.2,823,270
2019,New Hampshire,Black,77933,1134660,2.6,6,0
2019,New Hampshire,Hispanic,77933,1134660,2.6,19,0
2019,New Hampshire,White,77933,1134660,2.6,1250,172
2019,New Jersey,Black,85751,7371512,3.9,967,206
2019,New Jersey,Hispanic,85751,7371512,3.9,875,95
2019,New Jersey,White,85751,7371512,3.9,5486,918
2019,New Mexico,Black,51945,1651902,5,22,5
2019,New Mexico,Hispanic,51945,1651902,5,537,88
2019,New Mexico,White,51945,1651902,5,840,170
2019,New York,Black,72108,16244544,4,2312,472
2019,New York,Hispanic,72108,16244544,4,1966,236
2019,New York,White,72108,16244544,4,11337,1708
2019,North Carolina,Black,57341,8175421,3.8,1823,359
2019,North Carolina,Hispanic,57341,8175421,3.8,255,27
2019,North Carolina,White,57341,8175421,3.8,6636,967
2019,Ohio,Black,58642,9313912,4.4,1050,236
2019,Ohio,Hispanic,58642,9313912,4.4,102,15
2019,Ohio,White,58642,9313912,4.4,8549,1476
2019,Oklahoma,Black,54449,3024834,3.1,187,45
2019,Oklahoma,Hispanic,54449,3024834,3.1,100,12
2019,Oklahoma,White,54449,3024834,3.1,2319,457
2019,Oregon,Black,67058,3418638,3.4,40,9
2019,Oregon,Hispanic,67058,3418638,3.4,162,15
2019,Oregon,White,67058,3418638,3.4,3095,504
2019,Pennsylvania,Black,63463,10425767,4.5,1007,235
2019,Pennsylvania,Hispanic,63463,10425767,4.5,315,34
2019,Pennsylvania,White,63463,10425767,4.5,9718,1675
2019,Rhode Island,Black,71169,894223,3.5,37,7
2019,Rhode Island,Hispanic,71169,894223,3.5,70,4
2019,Rhode Island,White,71169,894223,3.5,852,120
2019,South Carolina,Black,56227,4029822,2.7,1056,225
2019,South Carolina,Hispanic,56227,4029822,2.7,76,6
2019,South Carolina,White,56227,4029822,2.7,3115,482
2019,Tennessee,Black,56071,5426345,3.5,755,177
2019,Tennessee,Hispanic,56071,5426345,3.5,82,11
2019,Tennessee,White,56071,5426345,3.5,4362,770
2019,Texas,Black,64034,21943443,3.5,2151,492
2019,Texas,Hispanic,64034,21943443,3.5,4061,625
2019,Texas,White,64034,21943443,3.5,10638,1798
2019,Utah,Black,75780,2389917,2.4,8,0
2019,Utah,Hispanic,75780,2389917,2.4,147,16
2019,Utah,White,75780,2389917,2.4,1417,250
2019,Virginia,Black,76456,6743227,2.8,1274,271
2019,Virginia,Hispanic,76456,6743227,2.8,209,25
2019,Virginia,White,76456,6743227,2.8,4704,797
2019,Washington,Black,78687,6070251,3.8,142,27
2019,Washington,Hispanic,78687,6070251,3.8,267,29
2019,Washington,White,78687,6070251,3.8,4895,778
2019,Wisconsin,Black,64168,4684115,3.1,234,43
2019,Wisconsin,Hispanic,64168,4684115,3.1,104,10
2019,Wisconsin,White,64168,4684115,3.1,4466,657
