Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1
2017,FL,Florida,Breast Cancer,incidence,Average Annual Number,11604,Race,White
2014,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,5811,Race,White
2017,IL,Illinois,Breast Cancer,incidence,Average Annual Number,10303,Gender,Female
2013,DE,Delaware,Breast Cancer,incidence,Average Annual Number,19,Race,Hispanic
2014,DE,Delaware,Breast Cancer,incidence,Average Annual Number,783,Gender,Female
2019,AL,Alabama,Breast Cancer,incidence,Average Annual Number,971,Race,Black
2013,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4610,Overall,Overall
2016,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4883,Overall,Overall
2015,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,53,Race,Hispanic
2013,MD,Maryland,Breast Cancer,incidence,Average Annual Number,2968,Race,White
2018,MO,Missouri,Breast Cancer,incidence,Average Annual Number,53,Race,Hispanic
2013,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4015,Overall,Overall
2019,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,311,Race,Black
2015,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3108,Race,White
2013,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2004,Overall,Overall
2013,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3523,Overall,Overall
2012,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4493,Overall,Overall
2019,DE,Delaware,Breast Cancer,incidence,Average Annual Number,174,Race,Black
2018,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,77,Race,Hispanic
2017,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,15,Race,Hispanic
2014,ME,Maine,Breast Cancer,incidence,Average Annual Number,1139,Race,White
2019,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,6026,Overall,Overall
2017,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3764,Gender,Female
2019,ME,Maine,Breast Cancer,incidence,Average Annual Number,8,Race,Hispanic
2013,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,229,Race,Black
2012,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,221,Race,Black
2015,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4759,Overall,Overall
2015,KS,Kansas,Breast Cancer,incidence,Average Annual Number,75,Race,Hispanic
2017,MD,Maryland,Breast Cancer,incidence,Average Annual Number,1447,Race,Black
2018,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,296,Race,Black
2017,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,258,Race,Black
2012,DE,Delaware,Breast Cancer,incidence,Average Annual Number,549,Race,White
2018,AL,Alabama,Breast Cancer,incidence,Average Annual Number,951,Race,Black
2017,MO,Missouri,Breast Cancer,incidence,Average Annual Number,53,Race,Hispanic
2016,GA,Georgia,Breast Cancer,incidence,Average Annual Number,2113,Race,Black
2017,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7745,Overall,Overall
2018,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,160,Race,White
2012,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3476,Overall,Overall
2012,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,14,Race,Hispanic
2018,GA,Georgia,Breast Cancer,incidence,Average Annual Number,4908,Race,White
2013,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1123,Race,White
2018,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2558,Overall,Overall
2015,IA,Iowa,Breast Cancer,incidence,Average Annual Number,36,Race,Black
2013,MT,Montana,Breast Cancer,incidence,Average Annual Number,775,Overall,Overall
2014,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5623,Gender,Female
2019,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4539,Overall,Overall
2012,MT,Montana,Breast Cancer,incidence,Average Annual Number,717,Race,White
2013,ME,Maine,Breast Cancer,incidence,Average Annual Number,1136,Gender,Female
2012,DE,Delaware,Breast Cancer,incidence,Average Annual Number,20,Race,Hispanic
2015,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,5985,Race,White
2017,ME,Maine,Breast Cancer,incidence,Average Annual Number,1208,Gender,Female
2014,AK,Alaska,Breast Cancer,incidence,Average Annual Number,307,Race,White
2014,AK,Alaska,Breast Cancer,incidence,Average Annual Number,12,Race,Black
2019,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,3829,Race,White
2012,CO,Colorado,Breast Cancer,incidence,Average Annual Number,2801,Race,White
2013,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,37,Race,Hispanic
2016,AK,Alaska,Breast Cancer,incidence,Average Annual Number,432,Gender,Female
2017,FL,Florida,Breast Cancer,incidence,Average Annual Number,1875,Race,Black
2015,ME,Maine,Breast Cancer,incidence,Average Annual Number,5,Race,Hispanic
2017,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1211,Overall,Overall
2018,ME,Maine,Breast Cancer,incidence,Average Annual Number,1188,Race,White
2019,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,132,Race,Black
2015,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,169,Race,Hispanic
2016,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4237,Race,White
2013,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,834,Race,Black
2012,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3148,Gender,Female
2015,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,489,Gender,Female
2017,GA,Georgia,Breast Cancer,incidence,Average Annual Number,7426,Gender,Female
2016,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,29,Race,Hispanic
2019,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,2658,Race,White
2019,MI,Michigan,Breast Cancer,incidence,Average Annual Number,964,Race,Black
2017,IN,Indiana,Breast Cancer,incidence,Average Annual Number,109,Race,Hispanic
2015,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,247,Race,Hispanic
2018,ME,Maine,Breast Cancer,incidence,Average Annual Number,5,Race,Black
2014,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,10,Race,Hispanic
2019,CO,Colorado,Breast Cancer,incidence,Average Annual Number,481,Race,Hispanic
2015,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,3524,Race,White
2017,AK,Alaska,Breast Cancer,incidence,Average Annual Number,11,Race,Black
2014,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,480,Gender,Female
2019,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,8988,Gender,Female
2019,ME,Maine,Breast Cancer,incidence,Average Annual Number,1241,Overall,Overall
2015,AK,Alaska,Breast Cancer,incidence,Average Annual Number,435,Overall,Overall
2018,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,8765,Overall,Overall
2013,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,5,Race,Black
2014,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3159,Gender,Female
2013,FL,Florida,Breast Cancer,incidence,Average Annual Number,2241,Race,Hispanic
2017,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4931,Overall,Overall
2014,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1069,Overall,Overall
2015,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4175,Overall,Overall
2013,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,2613,Race,White
2016,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,690,Race,Hispanic
2015,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4810,Gender,Female
2013,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,5312,Race,White
2012,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2013,Overall,Overall
2017,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,46,Race,Hispanic
2018,GA,Georgia,Breast Cancer,incidence,Average Annual Number,2287,Race,Black
2019,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3286,Race,White
2013,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2022,Gender,Female
2016,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3736,Overall,Overall
2016,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1269,Overall,Overall
2016,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,70,Race,Hispanic
2014,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3298,Gender,Female
2013,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2287,Overall,Overall
2014,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,1595,Race,Black
2019,GA,Georgia,Breast Cancer,incidence,Average Annual Number,7885,Overall,Overall
2016,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4207,Gender,Female
2015,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,470,Race,White
2012,GA,Georgia,Breast Cancer,incidence,Average Annual Number,6453,Overall,Overall
2014,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,3814,Race,White
2013,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,2965,Race,White
2017,AK,Alaska,Breast Cancer,incidence,Average Annual Number,16,Race,Hispanic
2018,AL,Alabama,Breast Cancer,incidence,Average Annual Number,2747,Race,White
2012,MO,Missouri,Breast Cancer,incidence,Average Annual Number,479,Race,Black
2019,MD,Maryland,Breast Cancer,incidence,Average Annual Number,5054,Overall,Overall
2012,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3162,Overall,Overall
2016,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3098,Race,White
2012,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,241,Race,Black
2013,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,65,Race,Hispanic
2017,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2206,Overall,Overall
2019,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,2396,Race,White
2016,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4883,Gender,Female
2019,MD,Maryland,Breast Cancer,incidence,Average Annual Number,174,Race,Hispanic
2019,IA,Iowa,Breast Cancer,incidence,Average Annual Number,50,Race,Black
2012,AK,Alaska,Breast Cancer,incidence,Average Annual Number,410,Overall,Overall
2015,GA,Georgia,Breast Cancer,incidence,Average Annual Number,7018,Overall,Overall
2018,IN,Indiana,Breast Cancer,incidence,Average Annual Number,119,Race,Hispanic
2018,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3243,Gender,Female
2013,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4607,Gender,Female
2018,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,3,Race,Hispanic
2018,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4465,Overall,Overall
2014,IA,Iowa,Breast Cancer,incidence,Average Annual Number,33,Race,Black
2019,CA,California,Breast Cancer,incidence,Average Annual Number,27224,Gender,Female
2012,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,19,Race,Hispanic
2013,GA,Georgia,Breast Cancer,incidence,Average Annual Number,4445,Race,White
2017,ME,Maine,Breast Cancer,incidence,Average Annual Number,5,Race,Black
2012,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7321,Overall,Overall
2013,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3523,Gender,Female
2017,DE,Delaware,Breast Cancer,incidence,Average Annual Number,842,Overall,Overall
2019,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,279,Race,Hispanic
2018,MT,Montana,Breast Cancer,incidence,Average Annual Number,13,Race,Hispanic
2019,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,3607,Gender,Female
2015,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1248,Race,White
2018,CA,California,Breast Cancer,incidence,Average Annual Number,5649,Race,Hispanic
2017,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2472,Gender,Female
2015,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,155,Race,White
2018,ME,Maine,Breast Cancer,incidence,Average Annual Number,1219,Gender,Female
2016,AK,Alaska,Breast Cancer,incidence,Average Annual Number,432,Overall,Overall
2015,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1104,Gender,Female
2016,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,111,Race,Black
2012,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,7290,Overall,Overall
2016,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,482,Overall,Overall
2013,MI,Michigan,Breast Cancer,incidence,Average Annual Number,109,Race,Hispanic
2017,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,74,Race,Hispanic
2012,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3072,Gender,Female
2014,CO,Colorado,Breast Cancer,incidence,Average Annual Number,388,Race,Hispanic
2019,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1297,Overall,Overall
2014,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,156,Race,Hispanic
2015,MI,Michigan,Breast Cancer,incidence,Average Annual Number,992,Race,Black
2018,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,504,Gender,Female
2014,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4685,Overall,Overall
2015,DE,Delaware,Breast Cancer,incidence,Average Annual Number,618,Race,White
2013,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,268,Race,White
2015,FL,Florida,Breast Cancer,incidence,Average Annual Number,15935,Overall,Overall
2018,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,4923,Overall,Overall
2013,AK,Alaska,Breast Cancer,incidence,Average Annual Number,415,Gender,Female
2016,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,3921,Race,White
2016,GA,Georgia,Breast Cancer,incidence,Average Annual Number,7217,Gender,Female
2016,CA,California,Breast Cancer,incidence,Average Annual Number,1679,Race,Black
2015,IN,Indiana,Breast Cancer,incidence,Average Annual Number,98,Race,Hispanic
2017,ME,Maine,Breast Cancer,incidence,Average Annual Number,1180,Race,White
2012,ME,Maine,Breast Cancer,incidence,Average Annual Number,1128,Gender,Female
2014,DE,Delaware,Breast Cancer,incidence,Average Annual Number,138,Race,Black
2014,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3273,Gender,Female
2019,MO,Missouri,Breast Cancer,incidence,Average Annual Number,60,Race,Hispanic
2013,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,7523,Overall,Overall
2015,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5765,Gender,Female
2013,GA,Georgia,Breast Cancer,incidence,Average Annual Number,1874,Race,Black
2012,MO,Missouri,Breast Cancer,incidence,Average Annual Number,3973,Race,White
2013,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1035,Overall,Overall
2014,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4682,Overall,Overall
2013,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7492,Overall,Overall
2018,MO,Missouri,Breast Cancer,incidence,Average Annual Number,4345,Race,White
2012,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1054,Overall,Overall
2015,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2068,Gender,Female
2017,FL,Florida,Breast Cancer,incidence,Average Annual Number,2774,Race,Hispanic
2017,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1246,Race,White
2012,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3148,Overall,Overall
2014,AL,Alabama,Breast Cancer,incidence,Average Annual Number,867,Race,Black
2017,GA,Georgia,Breast Cancer,incidence,Average Annual Number,2199,Race,Black
2015,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,497,Gender,Female
2018,MD,Maryland,Breast Cancer,incidence,Average Annual Number,1456,Race,Black
2016,DE,Delaware,Breast Cancer,incidence,Average Annual Number,22,Race,Hispanic
2015,IL,Illinois,Breast Cancer,incidence,Average Annual Number,9979,Gender,Female
2014,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,480,Overall,Overall
2016,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1147,Gender,Female
2014,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,492,Gender,Female
2016,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,6129,Race,White
2013,AK,Alaska,Breast Cancer,incidence,Average Annual Number,12,Race,Black
2016,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,717,Race,Black
2015,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1240,Overall,Overall
2019,IN,Indiana,Breast Cancer,incidence,Average Annual Number,128,Race,Hispanic
2016,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2139,Overall,Overall
2016,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,140,Race,Black
2019,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4539,Gender,Female
2012,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,2130,Race,White
2014,IL,Illinois,Breast Cancer,incidence,Average Annual Number,9785,Overall,Overall
2017,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1211,Gender,Female
2012,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,7020,Overall,Overall
2018,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2241,Overall,Overall
2017,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3764,Overall,Overall
2013,AK,Alaska,Breast Cancer,incidence,Average Annual Number,296,Race,White
2018,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,10,Race,Black
2018,MD,Maryland,Breast Cancer,incidence,Average Annual Number,3087,Race,White
2014,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2226,Race,White
2012,IN,Indiana,Breast Cancer,incidence,Average Annual Number,357,Race,Black
2019,FL,Florida,Breast Cancer,incidence,Average Annual Number,17860,Overall,Overall
2018,MI,Michigan,Breast Cancer,incidence,Average Annual Number,6514,Race,White
2015,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4787,Gender,Female
2019,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,160,Race,White
2014,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,37,Race,Hispanic
2019,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1340,Race,White
2016,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,43,Race,Hispanic
2014,GA,Georgia,Breast Cancer,incidence,Average Annual Number,4509,Race,White
2018,CO,Colorado,Breast Cancer,incidence,Average Annual Number,461,Race,Hispanic
2018,AK,Alaska,Breast Cancer,incidence,Average Annual Number,310,Race,White
2016,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,19,Race,Hispanic
2015,MO,Missouri,Breast Cancer,incidence,Average Annual Number,500,Race,Black
2018,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1246,Overall,Overall
2016,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1269,Gender,Female
2013,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1108,Gender,Female
2018,AK,Alaska,Breast Cancer,incidence,Average Annual Number,11,Race,Black
2014,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2038,Overall,Overall
2017,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7745,Gender,Female
2012,FL,Florida,Breast Cancer,incidence,Average Annual Number,10670,Race,White
2017,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2148,Gender,Female
2015,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,279,Race,Black
2015,DE,Delaware,Breast Cancer,incidence,Average Annual Number,805,Gender,Female
2014,AL,Alabama,Breast Cancer,incidence,Average Annual Number,2629,Race,White
2012,CA,California,Breast Cancer,incidence,Average Annual Number,1584,Race,Black
2013,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2017,Overall,Overall
2014,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,4,Race,Black
2014,KS,Kansas,Breast Cancer,incidence,Average Annual Number,70,Race,Hispanic
2018,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,282,Race,White
2016,FL,Florida,Breast Cancer,incidence,Average Annual Number,11428,Race,White
2018,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,8765,Gender,Female
2016,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,1375,Race,White
2019,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1287,Gender,Female
2019,MI,Michigan,Breast Cancer,incidence,Average Annual Number,124,Race,Hispanic
2016,MT,Montana,Breast Cancer,incidence,Average Annual Number,811,Overall,Overall
2018,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4137,Race,White
2014,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,127,Race,Black
2012,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4520,Overall,Overall
2017,MI,Michigan,Breast Cancer,incidence,Average Annual Number,982,Race,Black
2013,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,94,Race,Black
2018,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,37,Race,Hispanic
2016,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2170,Overall,Overall
2014,FL,Florida,Breast Cancer,incidence,Average Annual Number,10970,Race,White
2015,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,489,Overall,Overall
2014,FL,Florida,Breast Cancer,incidence,Average Annual Number,15476,Gender,Female
2016,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2119,Overall,Overall
2013,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2210,Race,White
2016,IN,Indiana,Breast Cancer,incidence,Average Annual Number,106,Race,Hispanic
2015,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1351,Overall,Overall
2019,GA,Georgia,Breast Cancer,incidence,Average Annual Number,2365,Race,Black
2016,MD,Maryland,Breast Cancer,incidence,Average Annual Number,147,Race,Hispanic
2016,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,251,Race,Hispanic
2016,MT,Montana,Breast Cancer,incidence,Average Annual Number,755,Race,White
2018,FL,Florida,Breast Cancer,incidence,Average Annual Number,17373,Gender,Female
2014,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4072,Overall,Overall
2013,GA,Georgia,Breast Cancer,incidence,Average Annual Number,6607,Overall,Overall
2013,DE,Delaware,Breast Cancer,incidence,Average Annual Number,134,Race,Black
2019,FL,Florida,Breast Cancer,incidence,Average Annual Number,12102,Race,White
2016,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1187,Gender,Female
2012,KY,Kentucky,Breast Cancer,incidence,Average Annual Number,2910,Race,White
2013,AK,Alaska,Breast Cancer,incidence,Average Annual Number,415,Overall,Overall
2012,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,478,Overall,Overall
2016,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,286,Race,Black
2014,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2306,Overall,Overall
2016,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,3402,Overall,Overall
2012,AK,Alaska,Breast Cancer,incidence,Average Annual Number,297,Race,White
2018,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,266,Race,Hispanic
2018,IN,Indiana,Breast Cancer,incidence,Average Annual Number,5089,Overall,Overall
2018,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,747,Race,Hispanic
2012,MT,Montana,Breast Cancer,incidence,Average Annual Number,772,Overall,Overall
2018,ND,North Dakota,Breast Cancer,incidence,Average Annual Number,540,Gender,Female
2015,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2334,Gender,Female
2012,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,1457,Race,Black
2016,FL,Florida,Breast Cancer,incidence,Average Annual Number,2640,Race,Hispanic
2012,GA,Georgia,Breast Cancer,incidence,Average Annual Number,6453,Gender,Female
2013,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,62,Race,Hispanic
2018,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,43,Race,Black
2016,AL,Alabama,Breast Cancer,incidence,Average Annual Number,913,Race,Black
2015,CO,Colorado,Breast Cancer,incidence,Average Annual Number,2998,Race,White
2017,IA,Iowa,Breast Cancer,incidence,Average Annual Number,40,Race,Black
2016,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,14,Race,Hispanic
2019,CT,Connecticut,Breast Cancer,incidence,Average Annual Number,3252,Gender,Female
2015,DE,Delaware,Breast Cancer,incidence,Average Annual Number,20,Race,Hispanic
2018,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1145,Race,White
2019,IN,Indiana,Breast Cancer,incidence,Average Annual Number,5093,Gender,Female
2018,CA,California,Breast Cancer,incidence,Average Annual Number,26740,Gender,Female
2012,KS,Kansas,Breast Cancer,incidence,Average Annual Number,64,Race,Hispanic
2018,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,234,Race,Hispanic
2018,MT,Montana,Breast Cancer,incidence,Average Annual Number,904,Gender,Female
2016,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,155,Race,White
2019,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1245,Overall,Overall
2013,ID,Idaho,Breast Cancer,incidence,Average Annual Number,1035,Gender,Female
2019,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7950,Gender,Female
2014,CO,Colorado,Breast Cancer,incidence,Average Annual Number,3521,Overall,Overall
2018,IA,Iowa,Breast Cancer,incidence,Average Annual Number,38,Race,Hispanic
2014,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,43,Race,Black
2017,IA,Iowa,Breast Cancer,incidence,Average Annual Number,2472,Overall,Overall
2012,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,5541,Race,White
2016,AK,Alaska,Breast Cancer,incidence,Average Annual Number,304,Race,White
2012,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,259,Race,White
2013,IL,Illinois,Breast Cancer,incidence,Average Annual Number,9591,Overall,Overall
2018,AK,Alaska,Breast Cancer,incidence,Average Annual Number,435,Overall,Overall
2012,IA,Iowa,Breast Cancer,incidence,Average Annual Number,33,Race,Black
2015,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,4175,Gender,Female
2019,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1250,Race,White
2016,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,482,Gender,Female
2017,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2206,Gender,Female
2013,MD,Maryland,Breast Cancer,incidence,Average Annual Number,117,Race,Hispanic
2016,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1378,Gender,Female
2013,DE,Delaware,Breast Cancer,incidence,Average Annual Number,581,Race,White
2012,AK,Alaska,Breast Cancer,incidence,Average Annual Number,410,Gender,Female
2018,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7841,Overall,Overall
2012,MI,Michigan,Breast Cancer,incidence,Average Annual Number,106,Race,Hispanic
2013,MN,Minnesota,Breast Cancer,incidence,Average Annual Number,3775,Race,White
2018,DE,Delaware,Breast Cancer,incidence,Average Annual Number,851,Gender,Female
2016,DE,Delaware,Breast Cancer,incidence,Average Annual Number,832,Gender,Female
2014,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4661,Gender,Female
2013,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,1108,Overall,Overall
2012,MA,Massachusetts,Breast Cancer,incidence,Average Annual Number,5492,Overall,Overall
2017,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2183,Gender,Female
2019,CA,California,Breast Cancer,incidence,Average Annual Number,5904,Race,Hispanic
2016,LA,Louisiana,Breast Cancer,incidence,Average Annual Number,2247,Race,White
2016,NC,North Carolina,Breast Cancer,incidence,Average Annual Number,8209,Overall,Overall
2017,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,4810,Overall,Overall
2017,MS,Mississippi,Breast Cancer,incidence,Average Annual Number,2148,Overall,Overall
2015,NH,New Hampshire,Breast Cancer,incidence,Average Annual Number,1205,Race,White
